data,sanmenxia,huayuankou,jiahetan,longmen 
2001/12/8,17712000,17712000,17366400,17712000
2001/12/9,17280000,17280000,17798400,56332800
2001/12/10,17280000,17280000,17452800,54000000
2001/12/11,15984000,15984000,16934400,58752000
2001/12/12,15120000,15120000,17020800,52963200
2001/12/13,15724800,15724800,17020800,57888000
2001/12/14,15724800,15724800,16675200,53568000
2001/12/15,15292800,15292800,15552000,47520000
2001/12/16,15552000,15552000,15638400,41472000
2001/12/17,16588800,16588800,15379200,36288000
2001/12/18,14860800,14860800,15033600,25056000
2001/12/19,14256000,14256000,15724800,15120000
2001/12/20,13132800,13132800,15897600,16416000
2001/12/21,13132800,13132800,16416000,20304000
2001/12/22,14256000,14256000,16588800,13824000
2001/12/23,15120000,15120000,16761600,12614400
2001/12/24,15206400,15206400,17280000,15033600
2001/12/25,15033600,15033600,17107200,13824000
2001/12/26,15465600,15465600,17107200,23155200
2001/12/27,15638400,15638400,17107200,11664000
2001/12/28,15465600,15465600,17020800,14256000
2001/12/29,15465600,15465600,17452800,9072000
2001/12/30,15206400,15206400,17452800,5011200
2001/12/31,15206400,15206400,17366400,8640000
2002/1/1,16761600,16761600,24364800,18144000
2002/1/2,16761600,16761600,25920000,23500800
2002/1/3,17107200,17107200,20995200,15552000
2002/1/4,13824000,13824000,19699200,11232000
2002/1/5,15552000,15552000,20131200,14256000
2002/1/6,15552000,15552000,21427200,16243200
2002/1/7,15379200,15379200,20995200,15552000
2002/1/8,13305600,13305600,19699200,11232000
2002/1/9,15206400,15206400,20131200,14256000
2002/1/10,15206400,15206400,21427200,16243200
2002/1/11,16761600,16761600,19440000,21600000
2002/1/12,16761600,16761600,21859200,24364800
2002/1/13,15552000,15552000,20995200,26006400
2002/1/14,19180800,19180800,19785600,29376000
2002/1/15,16934400,16934400,19440000,24364800
2002/1/16,17280000,17280000,21859200,26006400
2002/1/17,19872000,19872000,20995200,29376000
2002/1/18,18835200,18835200,24364800,26956800
2002/1/19,21945600,21945600,23500800,48211200
2002/1/20,20908800,20908800,19440000,36115200
2002/1/21,13132800,13132800,20822400,33696000
2002/1/22,16416000,16416000,21254400,35942400
2002/1/23,18489600,18489600,19180800,35424000
2002/1/24,15033600,15033600,18316800,30931200
2002/1/25,15984000,15984000,20217600,40435200
2002/1/26,17280000,17280000,20908800,34560000
2002/1/27,12096000,12096000,17452800,36288000
2002/1/28,12096000,12096000,14860800,49852800
2002/1/29,10713600,10713600,18748800,53308800
2002/1/30,15552000,15552000,19180800,57888000
2002/1/31,17625600,17625600,17625600,47520000
2002/2/1,15552000,15552000,16675200,44150400
2002/2/2,15120000,15120000,19353600,55123200
2002/2/3,12960000,12960000,17798400,52012800
2002/2/4,14688000,14688000,19008000,45792000
2002/2/5,13824000,13824000,16070400,40262400
2002/2/6,14256000,14256000,25228800,42249600
2002/2/7,20736000,20736000,23587200,26352000
2002/2/8,27993600,27993600,24192000,52012800
2002/2/9,25920000,25920000,21427200,50976000
2002/2/10,26784000,26784000,22550400,52012800
2002/2/11,26092800,26092800,37152000,54259200
2002/2/12,28512000,28512000,31622400,52012800
2002/2/13,30240000,30240000,39744000,53395200
2002/2/14,36288000,36288000,36460800,54086400
2002/2/15,35424000,35424000,41472000,55814400
2002/2/16,38016000,38016000,36460800,39744000
2002/2/17,38880000,38880000,36806400,49680000
2002/2/18,38016000,38016000,37152000,57715200
2002/2/19,41990400,41990400,37670400,54518400
2002/2/20,43200000,43200000,36633600,49939200
2002/2/21,37497600,37497600,36806400,41472000
2002/2/22,36460800,36460800,45792000,56419200
2002/2/23,39744000,39744000,36288000,52704000
2002/2/24,39744000,39744000,37152000,56851200
2002/2/25,35424000,35424000,32832000,55728000
2002/2/26,34560000,34560000,37152000,53568000
2002/2/27,34560000,34560000,42336000,50803200
2002/2/28,38880000,38880000,39571200,51235200
2002/3/1,39744000,39744000,37152000,56851200
2002/3/2,35424000,35424000,32832000,55728000
2002/3/3,34560000,34560000,37152000,53568000
2002/3/4,34560000,34560000,42336000,50803200
2002/3/5,38880000,38880000,39571200,51235200
2002/3/6,138240000,138240000,126144000,53049600
2002/3/7,142560000,142560000,125280000,49248000
2002/3/8,146880000,146880000,133920000,98496000
2002/3/9,133056000,133056000,166752000,67392000
2002/3/10,139968000,139968000,124416000,56419200
2002/3/11,118368000,118368000,133920000,66528000
2002/3/12,118368000,118368000,141696000,54259200
2002/3/13,136512000,136512000,138240000,57110400
2002/3/14,139104000,139104000,114912000,86400000
2002/3/15,121824000,121824000,77760000,99360000
2002/3/16,67392000,67392000,59184000,114048000
2002/3/17,67392000,67392000,67392000,103680000
2002/3/18,61344000,61344000,72576000,77760000
2002/3/19,61344000,61344000,69120000,73440000
2002/3/20,55123200,55123200,51840000,44064000
2002/3/21,58752000,58752000,57024000,57456000
2002/3/22,56160000,56160000,49852800,54432000
2002/3/23,62208000,62208000,42768000,50457600
2002/3/24,56160000,56160000,42768000,38534400
2002/3/25,56160000,56160000,43200000,30931200
2002/3/26,55296000,55296000,38880000,28080000
2002/3/27,46656000,46656000,43718400,31968000
2002/3/28,45792000,45792000,43200000,38880000
2002/3/29,44928000,44928000,43200000,39916800
2002/3/30,48384000,48384000,52272000,31536000
2002/3/31,53568000,53568000,47520000,32227200
2002/4/1,58752000,58752000,54000000,34387200
2002/4/2,55296000,55296000,54864000,62035200
2002/4/3,56592000,56592000,54000000,61084800
2002/4/4,56160000,56160000,54000000,52358400
2002/4/5,50112000,50112000,51840000,59011200
2002/4/6,50112000,50112000,50544000,66182400
2002/4/7,47952000,47952000,52704000,52272000
2002/4/8,50976000,50976000,54432000,45792000
2002/4/9,50457600,50457600,54432000,40435200
2002/4/10,50544000,50544000,59616000,52704000
2002/4/11,57024000,57024000,55296000,44064000
2002/4/12,57024000,57024000,56160000,47692800
2002/4/13,57024000,57024000,53136000,38880000
2002/4/14,54864000,54864000,44928000,45964800
2002/4/15,48384000,48384000,57888000,44755200
2002/4/16,51408000,51408000,58752000,44236800
2002/4/17,50112000,50112000,50112000,47952000
2002/4/18,49248000,49248000,43891200,50976000
2002/4/19,45792000,45792000,50716800,67392000
2002/4/20,45187200,45187200,35856000,53136000
2002/4/21,42940800,42940800,56160000,57542400
2002/4/22,44928000,44928000,48384000,54864000
2002/4/23,50976000,50976000,56592000,55468800
2002/4/24,65664000,65664000,64800000,53568000
2002/4/25,66528000,66528000,51840000,52704000
2002/4/26,58752000,58752000,64800000,47865600
2002/4/27,62899200,62899200,59184000,55123200
2002/4/28,60048000,60048000,57888000,47088000
2002/4/29,57456000,57456000,47520000,41904000
2002/4/30,55900800,55900800,53568000,55123200
2002/5/1,62640000,62640000,65232000,50112000
2002/5/2,64540800,64540800,66528000,34992000
2002/5/3,63417600,63417600,43632000,41904000
2002/5/4,61171200,61171200,76032000,19008000
2002/5/5,69984000,69984000,69120000,8985600
2002/5/6,64540800,64540800,66528000,34992000
2002/5/7,63417600,63417600,43632000,41904000
2002/5/8,61171200,61171200,76032000,19008000
2002/5/9,69984000,69984000,69120000,8985600
2002/5/10,62640000,62640000,47952000,22118400
2002/5/11,61344000,61344000,57888000,12700800
2002/5/12,65664000,65664000,69984000,12268800
2002/5/13,67824000,67824000,57456000,36720000
2002/5/14,62208000,62208000,66528000,43200000
2002/5/15,67824000,67824000,50976000,50112000
2002/5/16,63072000,63072000,39744000,49507200
2002/5/17,58752000,58752000,42336000,32832000
2002/5/18,50112000,50112000,48384000,50976000
2002/5/19,50112000,50112000,47088000,30240000
2002/5/20,47088000,47088000,45360000,43200000
2002/5/21,44236800,44236800,45360000,38448000
2002/5/22,45532800,45532800,47952000,44755200
2002/5/23,43200000,43200000,41904000,33264000
2002/5/24,41040000,41040000,41904000,57024000
2002/5/25,40608000,40608000,38016000,26611200
2002/5/26,34560000,34560000,35424000,34560000
2002/5/27,28080000,28080000,37584000,54086400
2002/5/28,34560000,34560000,37152000,44928000
2002/5/29,33696000,33696000,39744000,53568000
2002/5/30,31536000,31536000,38880000,25920000
